"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Congratulations to Drew Brees on the all time passing record. Always a class act.",FALSE,315281,NA,2018-10-09 03:47:49,FALSE,NA,"1049506695339229186",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",34749,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"2","Happy Anniversary, @MichelleObama. For 26 years, you’ve been an extraordinary partner, someone who can always make… https://t.co/csomlGbL1B",FALSE,691883,NA,2018-10-03 19:08:58,TRUE,NA,"1047564181266939905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",69622,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"3","Today, I’m proud to endorse even more Democratic candidates who aren’t just running against something, but for some… https://t.co/oqewS0Y8vZ",FALSE,213574,NA,2018-10-01 16:46:18,TRUE,NA,"1046803503988006912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",47293,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"4","From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And… https://t.co/mlAp2SRZlP",FALSE,116225,NA,2018-09-29 16:29:29,TRUE,NA,"1046074495201693697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11701,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"5","The antidote to government by a powerful few is government by the organized, energized many. This National Voter Re… https://t.co/3W5pfaUdKd",FALSE,383533,NA,2018-09-25 20:49:10,TRUE,NA,"1044690296917962754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",102947,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"6","The first class of Obama Fellows is full of leaders like Keith—hardworking, innovative, and dedicated to partnering… https://t.co/nOd6FzH23n",FALSE,90159,NA,2018-09-14 16:20:47,TRUE,NA,"1040636488445255680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",14159,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"7","We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who de… https://t.co/ku270JQnwl",FALSE,774076,NA,2018-09-11 13:52:34,TRUE,NA,"1039512025406349312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",142912,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"8","Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need… https://t.co/brM6Vd7j2R",FALSE,268625,NA,2018-09-07 15:08:22,TRUE,NA,"1038081548833222658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",48644,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"9","Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pr… https://t.co/hY9B0mSQB9",FALSE,396377,NA,2018-08-29 19:54:41,TRUE,NA,"1034892109868945409",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","BarackObama",57918,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"10","Congratulations to Hawaii for winning the Little League World Series! You make America very proud. <U+0001F919><U+0001F3FE> https://t.co/8Un7LPXgX1",FALSE,378238,NA,2018-08-26 21:40:29,FALSE,NA,"1033831571944554498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",34258,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"11","Our statement on the passing of Senator John McCain: https://t.co/3GBjNYxoj5",FALSE,878401,NA,2018-08-26 01:09:45,FALSE,NA,"1033521851312623616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",187414,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"12","Aretha helped define the American experience. In her voice, we could feel our history, all of it and in every shade… https://t.co/hUcQpbdydq",FALSE,594378,NA,2018-08-16 16:31:18,TRUE,NA,"1030129887623958538",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",134270,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"13","Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals, the idea that a… https://t.co/mMVBHEBzsv",FALSE,220530,NA,2018-08-06 14:53:32,TRUE,NA,"1026481404782235648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",39194,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"14","Today I’m proud to endorse such a wide and impressive array of Democratic candidates – leaders as diverse, patrioti… https://t.co/i0MECnqfJr",FALSE,237347,NA,2018-08-01 16:20:04,TRUE,NA,"1024691241093607425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",54483,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"15","Mandela Day is about taking action to change the world for the better. In these young people, I see Madiba's exampl… https://t.co/iT1v545C2L",FALSE,253978,NA,2018-07-18 16:19:30,TRUE,NA,"1019617669958586368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",40013,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"16","This week, I’m traveling to Africa for the first time since I left office – a continent of wonderful diversity, thr… https://t.co/UDROtalUlX",FALSE,415186,NA,2018-07-13 13:42:22,TRUE,NA,"1017766186296193024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",57711,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"17","Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it’s like to lift that cup – and I’m happy for… https://t.co/9LG5lxLQC7",FALSE,150226,NA,2018-06-12 15:09:54,TRUE,NA,"1006554191676964864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",13078,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"18","“Low plastic stool, cheap but delicious noodles, cold Hanoi beer.” This is how I’ll remember Tony. He taught us abo… https://t.co/l79o6OyNAT",FALSE,1112119,NA,2018-06-08 16:01:17,TRUE,NA,"1005117568913412098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",237846,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"19","This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, fo… https://t.co/Nr5qxK8sgu",FALSE,218884,NA,2018-06-01 15:33:58,TRUE,NA,"1002573982212788224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",49290,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"20","We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and af… https://t.co/iHLhFdhoZQ",FALSE,596285,NA,2018-05-28 16:02:01,TRUE,NA,"1001131488103030784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",115107,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"21","This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle a… https://t.co/XN7anzCTst",FALSE,135199,NA,2018-05-23 20:40:01,TRUE,NA,"999389510550028289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",20331,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"22","Happy Mother’s Day to every mom out there, especially the remarkable moms in my life, @MichelleObama and my mother-… https://t.co/QsZPuZ2OoJ",FALSE,591391,NA,2018-05-13 14:32:16,TRUE,NA,"995673081531248642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",58238,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"23","There are few issues more important to the security of the US than the potential spread of nuclear weapons or the p… https://t.co/ym4YTPpbWl",FALSE,447617,NA,2018-05-08 19:40:56,TRUE,NA,"993938824752451586",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",132016,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
